key,item_fat_content,item_identifier,item_MRP,item_outlet_sales,item_type,item_weight,outlet_identifier,outlet_location_type,outlet_size,outlet_type,source,outlet_years,item_visibility_mean_ratio
634,Low Fat,FDE58,118.4124,2370.248,Food,18.5,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999262299
635,Regular,FDT32,189.9214,5087.3778,Food,19,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993377947
636,Regular,FDZ01,101.899,103.199,Food,8.975,OUT010,Tier 3,Small,Grocery Store,train,15,1.670407351
637,Regular,FDM08,224.4088,4697.8848,Food,10.1,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447683
638,Regular,FDS58,158.6578,2406.867,Food,9.285,OUT013,Tier 3,High,Supermarket Type1,train,26,0.99761679
639,Regular,FDZ26,238.3222,5736.5328,Food,11.6,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998211819
640,Low Fat,FDC46,183.4266,7192.6374,Food,17.7,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.99361265
641,Low Fat,FDY51,220.7798,6611.394,Food,12.5,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.003293651
642,Low Fat,FDL34,142.3496,3246.4408,Food,16,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004875258
643,Low Fat,DRG39,51.6982,1262.3568,Drink,14.15,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.00329364
644,Non-Edible,NCG43,94.1462,1758.3778,Non-consumable,20.2,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.003388438
645,Regular,FDT01,211.5902,4672.5844,Food,13.65,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.002028032
646,Non-Edible,NCR38,253.1724,3775.086,Non-consumable,17.25,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095309
647,Low Fat,DRF01,147.4102,2478.7734,Drink,5.655,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.998508479
648,Regular,FDF53,182.2318,3067.3406,Food,20.75,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.999034284
649,Regular,FDS45,105.4622,3281.7282,Food,5.175,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997381111
650,Regular,FDR20,46.2744,1086.5856,Food,20,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.005656393
651,Low Fat,FDY07,46.5402,229.701,Food,11.8,OUT010,Tier 3,Small,Grocery Store,train,15,1
652,Regular,FDD38,102.8674,1528.011,Food,16.75,OUT045,Tier 2,Small,Supermarket Type1,train,11,0.998980372
653,Low Fat,DRF15,155.034,1990.742,Drink,18.35,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.001019666
654,Low Fat,FDH32,95.141,868.869,Food,12.8,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998211822
655,Non-Edible,NCJ42,103.0332,1230.3984,Non-consumable,19.75,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998986995
656,Regular,FDB56,187.6556,938.778,Food,8.75,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.003293657
657,Low Fat,FDD03,234.03,4194.54,Food,13.3,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.003293647
658,Non-Edible,NCL18,194.6136,1166.4816,Non-consumable,18.85,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997616799
659,Regular,FDW22,222.9114,5764.4964,Food,9.695,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.000871315
660,Low Fat,FDE32,37.5506,113.8518,Food,20.7,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.999034291
661,Low Fat,FDA34,174.408,7443.644,Food,11.5,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.994384455
662,Low Fat,FDJ08,191.7846,3057.3536,Food,11.1,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095308
663,Regular,FDG38,83.3224,3579.3408,Food,8.975,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999167823
664,Low Fat,FDD29,253.1698,1522.0188,Food,12.15,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514922
665,Non-Edible,NCE31,35.4216,450.0808,Non-consumable,7.67,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997381135
666,Regular,FDS19,76.9012,607.2096,Food,13.8,OUT013,Tier 3,High,Supermarket Type1,train,26,0.99916782
667,Low Fat,FDU11,120.1098,1325.6078,Food,4.785,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997381131
668,Regular,FDL02,105.3622,1270.3464,Food,20,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
669,Regular,FDO51,43.4112,1107.8912,Food,6.785,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612644
670,Low Fat,DRK23,254.104,3542.056,Drink,8.395,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514935
671,Regular,FDO27,95.2752,1534.0032,Food,6.175,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.001255887
672,Low Fat,FDB16,89.2198,1308.297,Food,8.21,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.000776756
673,Low Fat,FDA44,55.393,1471.418,Food,19.7,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095303
674,Non-Edible,NCB18,89.6514,1239.7196,Non-consumable,19.6,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002278114
675,Non-Edible,NCL53,175.3028,3896.2616,Non-consumable,7.5,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.99844767
676,Regular,FDR16,214.4218,1496.0526,Food,5.845,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.003293651
677,Non-Edible,NCQ05,151.6708,3460.8284,Non-consumable,11.395,OUT013,Tier 3,High,Supermarket Type1,train,26,0.842558341
678,Regular,FDF44,132.1968,2870.9296,Food,7.17,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514941
679,Regular,FDU50,114.7176,1259.6936,Food,5.75,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.005751505
680,Regular,FDG20,178.2028,177.1028,Food,15.5,OUT010,Tier 3,Small,Grocery Store,train,15,1.671196716
681,Low Fat,FDD58,99.77,798.96,Food,7.76,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998023085
682,Regular,FDT01,212.9902,3185.853,Food,13.65,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.00565641
683,Low Fat,FDK15,98.3042,1488.063,Food,10.8,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.999763775
684,Low Fat,FDJ08,189.2846,5159.2842,Food,11.1,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
685,Low Fat,FDS10,182.0318,5954.2494,Food,19.2,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.995157449
686,Regular,FDJ55,226.8404,4500.808,Food,12.8,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
687,Low Fat,FDU32,123.0414,121.8414,Food,8.785,OUT010,Tier 3,Small,Grocery Store,train,15,0.875234826
688,Regular,FDG09,185.9556,4318.3788,Food,20.6,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998023079
689,Low Fat,FDE39,121.0782,3456.1678,Food,7.89,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.00047258
690,Low Fat,FDU56,185.8266,1659.8394,Food,16.85,OUT013,Tier 3,High,Supermarket Type1,train,26,0.998391715
691,Non-Edible,NCH55,127.402,759.012,Non-consumable,16.35,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000236221
692,Regular,FDX33,159.4578,4974.1918,Food,9.195,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.994384457
693,Regular,FDR24,87.983,1707.777,Food,17.35,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472554
694,Regular,FDC33,197.3768,7488.9184,Food,8.96,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.995157455
695,Non-Edible,NCV54,116.8124,2488.7604,Non-consumable,11.1,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.992130672
696,Non-Edible,NCQ02,186.7556,2816.334,Non-consumable,12.6,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997616783
697,Non-Edible,NCU17,101.4674,2954.1546,Non-consumable,5.32,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
698,Non-Edible,NCZ06,255.2698,761.0094,Non-consumable,19.6,OUT019,Tier 1,Small,Grocery Store,train,28,1.748153005
699,Regular,FDV37,199.4426,593.2278,Food,13,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258889
700,Low Fat,DRH25,50.2324,1298.31,Drink,18.7,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612698
701,Non-Edible,NCI43,46.3376,1150.5024,Non-consumable,19.85,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.99903428
702,Non-Edible,NCQ53,237.159,3072.667,Non-consumable,17.6,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004875232
703,Non-Edible,NCT18,181.7976,3259.7568,Non-consumable,14.6,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998023073
704,Low Fat,FDF14,152.734,2756.412,Food,7.55,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.000776766
705,Low Fat,FDM14,106.9254,2930.1858,Food,13.8,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.999223235
706,Regular,FDX57,99.2068,97.2068,Food,17.25,OUT010,Tier 3,Small,Grocery Store,train,15,1.671196698
707,Non-Edible,NCV05,153.1656,1544.656,Non-consumable,10.1,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.997976067
708,Regular,FDX39,212.5586,3165.879,Food,14.3,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997616786
709,Low Fat,FDA23,100.6016,1619.2256,Food,9.8,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447664
710,Non-Edible,NCV06,194.4478,387.4956,Non-consumable,11.3,OUT046,Tier 1,Small,Supermarket Type1,train,16,1.000094556
711,Non-Edible,NCE31,36.3216,415.4592,Non-consumable,7.67,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000236223
712,Low Fat,DRI39,55.893,226.372,Drink,13.8,OUT010,Tier 3,Small,Grocery Store,train,15,1.671196726
713,Low Fat,FDH21,160.0604,1267.6832,Food,10.395,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.99976377
714,Low Fat,FDR26,175.8028,1593.9252,Food,20.7,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447675
715,Low Fat,FDA14,147.176,585.904,Food,16.1,OUT019,Tier 1,Small,Grocery Store,train,28,1.750870914
716,Regular,FDG21,149.605,3745.125,Food,17.35,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.004168517
717,Non-Edible,NCQ38,104.828,1810.976,Non-consumable,16.35,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514938
718,Low Fat,FDN20,167.0474,2358.2636,Food,19.35,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447675
719,Non-Edible,NCN29,50.3034,145.8102,Non-consumable,15.2,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.003621025
720,Low Fat,FDI28,78.2302,554.6114,Food,14.3,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514924
721,Regular,FDA03,146.8102,3499.4448,Food,18.5,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612661
722,Regular,FDZ28,127.3678,1780.3492,Food,20,OUT046,Tier 1,Small,Supermarket Type1,train,16,1.040038531
723,Regular,FDO52,172.1106,2566.659,Food,11.6,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.99438445
724,Regular,FDU10,38.2848,1230.3984,Food,10.1,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004875235
725,Regular,FDP13,41.548,918.804,Food,8.1,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993143331
726,Low Fat,FDV02,170.7106,3079.9908,Food,16.75,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.994384455
727,Regular,FDS28,56.9588,744.3644,Food,8.18,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
728,Low Fat,FDW49,179.8002,716.4008,Food,19.5,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.996958483
729,Low Fat,FDP33,254.7672,5113.344,Food,18.7,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998211818
730,Regular,FDJ03,48.5692,886.8456,Food,12.35,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472558
731,Regular,FDQ51,45.5718,1039.9796,Food,16,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999356791
732,Low Fat,DRK23,253.704,4554.072,Drink,8.395,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
733,Low Fat,FDU11,119.7098,1807.647,Food,4.785,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000236224
734,Non-Edible,NCK06,122.6756,2665.8632,Non-consumable,5.03,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258886
735,Low Fat,FDY09,174.3054,1751.054,Food,15.6,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.002834289
736,Non-Edible,NCY18,173.6054,2626.581,Non-consumable,7.285,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258914
737,Low Fat,FDA10,120.9072,1470.0864,Food,20.35,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.969433791
738,Low Fat,FDO34,165.9816,4362.3216,Food,17.7,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095315
739,Low Fat,FDE38,164.3842,4476.1734,Food,6.52,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612662
740,Regular,FDF40,248.4092,2241.0828,Food,20.25,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095288
741,Regular,FDY02,264.791,4733.838,Food,8.945,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.040781404
742,Low Fat,FDS03,66.0826,258.3304,Food,7.825,OUT019,Tier 1,Small,Grocery Store,train,28,1.747740047
743,Low Fat,FDB59,199.0084,3174.5344,Food,18.25,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.99844772
744,Non-Edible,NCQ42,127.6678,2924.8594,Non-consumable,20.35,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.999763781
745,Regular,FDO15,72.3038,960.7494,Food,16.75,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.999763747
746,Low Fat,DRN47,178.166,539.298,Drink,12.1,OUT010,Tier 3,Small,Grocery Store,train,15,1.669097927
747,Regular,FDA03,144.2102,2041.3428,Food,18.5,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.963106296
748,Regular,FDA01,58.5904,996.0368,Food,15,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258885
749,Regular,FDB38,158.992,1757.712,Food,19.5,OUT046,Tier 1,Small,Supermarket Type1,train,16,1.000094554
750,Low Fat,FDT59,230.6668,1842.9344,Food,13.65,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.002597686
751,Regular,FDG08,170.6764,3435.528,Food,13.15,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.999810909
752,Regular,FDV56,106.2596,1402.1748,Food,16.1,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612624
753,Regular,FDY26,211.4244,7833.8028,Food,20.6,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447704
754,Low Fat,DRE13,87.9198,1221.0772,Drink,6.28,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998023058
755,Regular,FDE51,42.8086,669.129,Food,5.925,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.99844767
756,Low Fat,FDL40,94.541,1061.951,Food,17.7,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.002122793
757,Low Fat,FDD50,168.1132,2874.9244,Food,18.85,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.999223237
758,Low Fat,FDC04,241.8854,4592.0226,Food,15.6,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612646
759,Low Fat,FDN15,141.718,419.454,Food,17.5,OUT010,Tier 3,Small,Grocery Store,train,15,1.668704107
760,Low Fat,FDC46,182.8266,5163.9448,Food,17.7,OUT013,Tier 3,High,Supermarket Type1,train,26,0.99761679
761,Regular,FDV56,107.7596,323.5788,Food,16.1,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997616778
762,Low Fat,FDK43,128.402,1265.02,Food,9.8,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514945
763,Non-Edible,NCR29,54.793,622.523,Non-consumable,7.565,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472556
764,Regular,FDY03,111.7202,1125.202,Food,17.6,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998211825
765,Regular,FDU44,164.1552,5198.5664,Food,12.15,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
766,Low Fat,FDZ04,61.651,379.506,Food,9.31,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997616806
767,Regular,FDU16,82.1908,2432.8332,Food,19.25,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.001649428
768,Low Fat,FDV07,110.7228,1657.842,Food,9.5,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.002539965
769,Non-Edible,NCL19,143.947,3006.087,Non-consumable,15.35,OUT013,Tier 3,High,Supermarket Type1,train,26,0.99839168
770,Low Fat,FDW01,153.4682,2287.023,Food,14.5,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.992130667
771,Regular,FDC10,120.3098,1687.1372,Food,9.8,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993377938
772,Low Fat,DRC12,189.1188,3237.1196,Drink,17.85,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004875255
773,Low Fat,DRK39,82.225,2746.425,Drink,7.02,OUT013,Tier 3,High,Supermarket Type1,train,26,0.99916782
774,Low Fat,FDG24,81.425,1331.6,Food,7.975,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.994384472
775,Low Fat,FDO04,53.2614,607.8754,Food,16.6,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.995251538
776,Low Fat,DRB25,106.3938,857.5504,Drink,12.3,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.99802307
777,Regular,FDK26,184.824,4287.752,Food,5.46,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.996769956
778,Low Fat,FDM52,147.2076,1773.6912,Food,15.1,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.002028013
779,Low Fat,FDY07,46.8402,597.2226,Food,11.8,OUT045,Tier 2,Small,Supermarket Type1,train,11,2.999233571
780,Non-Edible,NCO06,33.4558,441.4254,Non-consumable,19.25,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514936
781,Regular,FDO10,55.8588,1431.47,Food,13.65,OUT045,Tier 2,Small,Supermarket Type1,train,11,0.669257666
782,Low Fat,FDK34,240.2564,2860.2768,Food,13.35,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999167824
783,Regular,FDS33,86.9514,3364.9532,Food,6.67,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.995251547
784,Regular,FDO45,88.6856,1757.712,Food,13.15,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472564
785,Regular,FDF08,89.8856,966.7416,Food,14.3,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998211824
786,Low Fat,FDH58,115.1834,1958.1178,Food,12.3,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.002028009
787,Low Fat,FDS03,63.2826,129.1652,Food,7.825,OUT010,Tier 3,Small,Grocery Store,train,15,1.670801945
788,Low Fat,DRF03,38.8138,365.5242,Drink,19.1,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.99825887
789,Low Fat,FDE02,93.7778,1783.6782,Food,8.71,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997381132
790,Non-Edible,NCZ06,252.2698,2790.3678,Non-consumable,19.6,OUT013,Tier 3,High,Supermarket Type1,train,26,0.9976168
791,Low Fat,FDW49,179.3002,2328.3026,Food,19.5,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.039883534
792,Low Fat,FDR23,174.737,2822.992,Food,15.85,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.040781407
793,Non-Edible,NCJ29,85.1224,2045.3376,Non-consumable,10.6,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.994384458
794,Regular,FDY35,47.2402,505.3422,Food,17.6,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.00023623
795,Regular,FDZ01,102.699,3095.97,Food,8.975,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993143383
796,Low Fat,FDX19,233.1958,5141.3076,Food,19.1,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447683
797,Low Fat,FDG44,54.0298,808.947,Food,6.13,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002514933
798,Low Fat,FDQ23,100.6332,2665.8632,Food,6.55,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998258913
799,Regular,FDY22,143.8128,2588.6304,Food,16.5,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.00259768
800,Non-Edible,NCN41,125.073,1108.557,Non-consumable,17,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997381136
801,Regular,FDA47,162.421,1304.968,Food,10.5,OUT045,Tier 2,Small,Supermarket Type1,train,11,0.972921315
802,Non-Edible,NCD19,55.4614,331.5684,Non-consumable,8.93,OUT045,Tier 2,Small,Supermarket Type1,train,11,0.742195169
803,Low Fat,FDO36,180.866,3235.788,Food,19.7,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.992130661
804,Regular,FDH20,95.141,3089.312,Food,16.1,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999167826
805,Low Fat,FDN12,113.1544,3355.632,Food,15.6,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.99515746
806,Non-Edible,NCJ30,171.379,2037.348,Non-consumable,5.82,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.001019663
807,Low Fat,FDB09,126.2046,1867.569,Food,16.25,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
808,Regular,FDA09,180.266,898.83,Food,13.35,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472558
809,Regular,FDL24,172.3422,7759.899,Food,10.3,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.994384439
810,Regular,FDP03,125.6388,2848.2924,Food,5.15,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998023069
811,Low Fat,FDR58,94.5462,2868.9322,Food,6.675,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.995157469
812,Low Fat,FDO13,166.0526,3617.9572,Food,7.865,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997616794
813,Low Fat,DRD49,239.4564,5243.8408,Drink,9.895,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.999034294
814,Non-Edible,NCF42,176.0712,2109.2544,Non-consumable,17.35,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998023072
815,Low Fat,DRK35,36.1506,721.0614,Drink,8.365,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.998023062
816,Low Fat,FDR58,92.1462,1203.1006,Food,6.675,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999167825
817,Regular,FDQ15,83.1276,1868.2348,Food,20.35,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612652
818,Non-Edible,NCP50,80.5618,322.2472,Non-consumable,17.35,OUT013,Tier 3,High,Supermarket Type1,train,26,0.999167844
819,Low Fat,FDV45,186.4556,3942.8676,Food,16.75,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447675
820,Low Fat,DRP35,129.6336,3195.84,Drink,18.85,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1
821,Regular,FDN23,143.5444,3338.3212,Food,6.575,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.999034294
822,Regular,FDS44,238.9538,4086.0146,Food,12.65,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.001554729
823,Non-Edible,NCI54,110.9912,1856.2504,Non-consumable,15.2,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.002278127
824,Regular,FDH40,79.3276,1380.8692,Food,11.6,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.99337793
825,Low Fat,FDF46,113.3834,1267.0174,Food,7.07,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.999810913
826,Low Fat,FDA21,184.4924,5182.5872,Food,13.65,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.004168499
827,Regular,FDI41,145.2418,147.1418,Food,18.5,OUT019,Tier 1,Small,Grocery Store,train,28,1.74595752
828,Regular,FDE35,58.8904,58.5904,Food,7.06,OUT010,Tier 3,Small,Grocery Store,train,15,1.672494832
829,Low Fat,DRJ24,186.3924,5367.6796,Drink,11.8,OUT013,Tier 3,High,Supermarket Type1,train,26,0.99738114
830,Non-Edible,NCK17,41.548,1358.232,Non-consumable,11,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.994384459
831,Low Fat,FDA15,250.2092,5976.2208,Food,9.3,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000472541
832,Low Fat,FDD36,117.6124,2251.7356,Food,13.3,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.993612647
833,Low Fat,DRD60,181.1634,181.7634,Drink,15.7,OUT019,Tier 1,Small,Grocery Store,train,28,1.748153017
834,Low Fat,FDA46,195.4136,5443.5808,Food,13.6,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997616797
835,Non-Edible,NCO54,57.2614,1547.3192,Non-consumable,19.5,OUT045,Tier 2,Small,Supermarket Type1,train,11,1.000236226
836,Regular,FDL48,47.1034,145.8102,Food,19.35,OUT010,Tier 3,Small,Grocery Store,train,15,1.67119672
837,Non-Edible,NCM19,112.0202,5063.409,Non-consumable,12.65,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.995157444
838,Regular,FDS31,178.9318,3067.3406,Food,13.1,OUT049,Tier 1,Medium,Supermarket Type1,train,14,0.77857991
839,Regular,FDV12,97.6384,2857.6136,Food,16.7,OUT035,Tier 2,Small,Supermarket Type1,train,9,0.996769952
840,Regular,FDQ31,87.1856,1406.1696,Food,5.785,OUT035,Tier 2,Small,Supermarket Type1,train,9,1.040057384
841,Low Fat,FDK55,89.4172,178.4344,Food,18.5,OUT019,Tier 1,Small,Grocery Store,train,28,1.748153013
842,Low Fat,DRG15,59.3536,1470.0864,Drink,6.13,OUT049,Tier 1,Medium,Supermarket Type1,train,14,1.000776764
843,Non-Edible,NCR17,116.2492,2896.23,Non-consumable,9.8,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.003293628
844,Regular,FDV01,154.6314,6515.5188,Food,19.2,OUT027,Tier 3,Medium,Supermarket Type3,train,28,0.942397508
845,Low Fat,FDT21,248.4092,996.0368,Food,7.42,OUT018,Tier 3,Medium,Supermarket Type2,train,4,1.00251494
846,Regular,FDT10,57.4562,948.0992,Food,16.7,OUT046,Tier 1,Small,Supermarket Type1,train,16,0.998447691
847,Low Fat,FDL56,85.6198,87.2198,Food,14.1,OUT019,Tier 1,Small,Grocery Store,train,28,1.748153006
848,Low Fat,FDS49,80.1644,1178.466,Food,9,OUT017,Tier 2,Small,Supermarket Type1,train,6,1.004095301
849,Regular,FDT32,188.4214,565.2642,Food,19,OUT019,Tier 1,Small,Grocery Store,train,28,1.747740056
850,Non-Edible,NCX42,164.5526,2137.8838,Non-consumable,6.36,OUT013,Tier 3,High,Supermarket Type1,train,26,0.99761669
851,Low Fat,FDX26,184.1292,547.2876,Food,17.7,OUT010,Tier 3,Small,Grocery Store,train,15,1.668704106
852,Low Fat,FDN02,208.5638,2691.8294,Food,16.5,OUT013,Tier 3,High,Supermarket Type1,train,26,0.997616784
